Unauthorized_lifeform_detected_Commencing_patriotic_cleansing,robotassaultron,Unauthorized lifeform detected. Commencing patriotic cleansing.,
Citizen_verification_failed,robotassaultron,Citizen verification failed.,
Mutation_index_exceeds_acceptable_limits,robotassaultron,Mutation index exceeds acceptable limits.,
By_order_of_the_Enclave_surrender_immediately,robotassaultron,By order of the Enclave: surrender immediately.,
Hostile_wastelander_identified,robotassaultron,Hostile wastelander identified.,
Americas_enemies_have_been_located,robotassaultron,America's enemies have been located.,
Pure_human_command_hierarchy_violated,robotassaultron,Pure human command hierarchy violated.,
You_are_trespassing_on_sovereign_United_States_territory,robotassaultron,You are trespassing on sovereign United States territory.,
Democracy_is_nonnegotiable,robotassaultron,Democracy is non-negotiable.,
Lethal_force_authorized,robotassaultron,Lethal force authorized.,
For_the_continuity_of_America,robotassaultron,For the continuity of America.,
Mutant_resistance_statistically_irrelevant,robotassaultron,Mutant resistance statistically irrelevant.,
Your_extinction_preserves_the_nation,robotassaultron,Your extinction preserves the nation.,
Combat_efficiency_optimal,robotassaultron,Combat efficiency: optimal.,
Target_suffering_acknowledged,robotassaultron,Target suffering acknowledged.,
Freedom_requires_extermination,robotassaultron,Freedom requires extermination.,
Engaging_surgical_dismemberment_protocols,robotassaultron,Engaging surgical dismemberment protocols.,
Glory_to_the_Enclave,robotassaultron,Glory to the Enclave.,
Directed_energy_systems_online,robotassaultron,Directed energy systems online.,
Final_warning_issued,robotassaultron,Final warning issued.,
Remain_stationary_for_purification,robotassaultron,Remain stationary for purification.,
Patriot_beam_charging,robotassaultron,Patriot beam charging.,
Strategic_annihilation_imminent,robotassaultron,Strategic annihilation imminent.,
Please_face_the_light_of_America,robotassaultron,Please face the light of America.,
Threat_neutralized,robotassaultron,Threat neutralized.,
Purification_complete,robotassaultron,Purification complete.,
Another_victory_for_the_Enclave,robotassaultron,Another victory for the Enclave.,
Mutant_terminated,robotassaultron,Mutant terminated.,
America_endures,robotassaultron,America endures.,
Target_removed_from_census_records,robotassaultron,Target removed from census records.,
Civilization_restored,robotassaultron,Civilization restored.,
Cowardice_detected,robotassaultron,Cowardice detected.,
Running_only_delays_the_inevitable,robotassaultron,Running only delays the inevitable.,
Thermal_signatures_unstable,robotassaultron,Thermal signatures unstable.,
Resuming_extermination_sweep,robotassaultron,Resuming extermination sweep.,
The_Enclave_sees_all,robotassaultron,The Enclave sees all.,
Hiding_from_America_is_impossible,robotassaultron,Hiding from America is impossible.,
Structural_integrity_compromised,robotassaultron,Structural integrity compromised.,
Combat_chassis_failure_imminent,robotassaultron,Combat chassis failure imminent.,
Core_temperature_critical,robotassaultron,Core temperature critical.,
Emergency_retaliation_subroutines_enabled,robotassaultron,Emergency retaliation subroutines enabled.,
You_will_not_survive_this_engagement,robotassaultron,You will not survive this engagement.,
For_America_always,robotassaultron,For America... always.,
Detonation_sequence_confirmed,robotassaultron,Detonation sequence confirmed.,
Take_comfort_in_serving_your_country,robotassaultron,Take comfort in serving your country.,
This_units_sacrifice_is_acceptable,robotassaultron,This unit's sacrifice is acceptable.,
Liberty_requires_total_commitment,robotassaultron,Liberty requires total commitment.,
